,city.cityName,city.confirmedCount,city.suspectedCount,city.curedCount,city.deadCount,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,武汉,495,0,31,23,湖北省,湖北,549,0,31,24,
1,孝感,22,0,0,0,湖北省,湖北,549,0,31,24,
2,黄冈,12,0,0,0,湖北省,湖北,549,0,31,24,
3,荆州,8,0,0,0,湖北省,湖北,549,0,31,24,
4,荆门,8,0,0,0,湖北省,湖北,549,0,31,24,
5,仙桃,2,0,0,0,湖北省,湖北,549,0,31,24,
6,宜昌,1,0,0,1,湖北省,湖北,549,0,31,24,
7,十堰,1,0,0,0,湖北省,湖北,549,0,31,24,
8,佛山,6,0,0,0,广东省,广东,53,0,2,0,
9,广州,5,0,0,0,广东省,广东,53,0,2,0,
10,惠州,5,0,0,0,广东省,广东,53,0,2,0,
11,韶关,3,0,0,0,广东省,广东,53,0,2,0,
12,深圳,15,0,2,0,广东省,广东,53,0,2,0,
13,湛江,2,0,0,0,广东省,广东,53,0,2,0,
14,珠海,8,0,0,0,广东省,广东,53,0,2,0,
15,中山,2,0,0,0,广东省,广东,53,0,2,0,
16,阳江,3,0,0,0,广东省,广东,53,0,2,0,
17,肇庆,1,0,0,0,广东省,广东,53,0,2,0,
18,清远,1,0,0,0,广东省,广东,53,0,2,0,
19,杭州,6,0,0,0,浙江省,浙江,43,0,1,0,
20,宁波,5,0,0,0,浙江省,浙江,43,0,1,0,
21,台州,18,0,0,0,浙江省,浙江,43,0,1,0,
22,温州,6,0,1,0,浙江省,浙江,43,0,1,0,
23,舟山,1,0,0,0,浙江省,浙江,43,0,1,0,
24,绍兴,1,0,0,0,浙江省,浙江,43,0,1,0,
25,金华,1,0,0,0,浙江省,浙江,43,0,1,0,
26,衢州,2,0,0,0,浙江省,浙江,43,0,1,0,
27,嘉兴,3,0,0,0,浙江省,浙江,43,0,1,0,
28,昌平,2,0,0,0,北京市,北京,29,0,1,0,
29,大兴,2,0,1,0,北京市,北京,29,0,1,0,
30,丰台,2,0,0,0,北京市,北京,29,0,1,0,
31,海淀,3,0,0,0,北京市,北京,29,0,1,0,
32,通州,2,0,0,0,北京市,北京,29,0,1,0,
33,外地来京人员,9,0,0,0,北京市,北京,29,0,1,0,
34,西城,4,0,0,0,北京市,北京,29,0,1,0,
35,朝阳,3,0,0,0,北京市,北京,29,0,1,0,
36,石景山,1,0,0,0,北京市,北京,29,0,1,0,
37,顺义,1,0,0,0,北京市,北京,29,0,1,0,
38,长沙,8,0,0,0,湖南省,湖南,24,0,0,0,
39,怀化,3,0,0,0,湖南省,湖南,24,0,0,0,
40,永州,4,0,0,0,湖南省,湖南,24,0,0,0,
41,郴州,1,0,0,0,湖南省,湖南,24,0,0,0,
42,株洲,1,0,0,0,湖南省,湖南,24,0,0,0,
43,岳阳,3,0,0,0,湖南省,湖南,24,0,0,0,
44,湘潭,1,0,0,0,湖南省,湖南,24,0,0,0,
45,娄底,3,0,0,0,湖南省,湖南,24,0,0,0,
46,合肥,6,0,0,0,安徽省,安徽,15,0,0,0,
47,六安,2,0,0,0,安徽省,安徽,15,0,0,0,
48,滁州,1,0,0,0,安徽省,安徽,15,0,0,0,
49,阜阳,2,0,0,0,安徽省,安徽,15,0,0,0,
50,亳州,1,0,0,0,安徽省,安徽,15,0,0,0,
51,安庆,1,0,0,0,安徽省,安徽,15,0,0,0,
52,池州,1,0,0,0,安徽省,安徽,15,0,0,0,
53,蚌埠,1,0,0,0,安徽省,安徽,15,0,0,0,
54,万州区,3,0,0,0,重庆市,重庆,27,0,0,0,
55,巫山县,3,0,0,0,重庆市,重庆,27,0,0,0,
56,长寿区,3,0,0,0,重庆市,重庆,27,0,0,0,
57,九龙坡区,2,0,0,0,重庆市,重庆,27,0,0,0,
58,垫江县,2,0,0,0,重庆市,重庆,27,0,0,0,
59,渝北区,2,0,0,0,重庆市,重庆,27,0,0,0,
60,永川区,2,0,0,0,重庆市,重庆,27,0,0,0,
61,涪陵区,1,0,0,0,重庆市,重庆,27,0,0,0,
62,开州区,2,0,0,0,重庆市,重庆,27,0,0,0,
63,忠县,1,0,0,0,重庆市,重庆,27,0,0,0,
64,大渡口区,1,0,0,0,重庆市,重庆,27,0,0,0,
65,云阳县,1,0,0,0,重庆市,重庆,27,0,0,0,
66,奉节县,1,0,0,0,重庆市,重庆,27,0,0,0,
67,巫溪县,1,0,0,0,重庆市,重庆,27,0,0,0,
68,秀山县,1,0,0,0,重庆市,重庆,27,0,0,0,
69,两江新区,1,0,0,0,重庆市,重庆,27,0,0,0,
70,成都,7,0,0,0,四川省,四川,15,0,0,0,
71,广安,2,0,0,0,四川省,四川,15,0,0,0,
72,绵阳,2,0,0,0,四川省,四川,15,0,0,0,
73,达州,1,0,0,0,四川省,四川,15,0,0,0,
74,遂宁,1,0,0,0,四川省,四川,15,0,0,0,
75,德阳,1,0,0,0,四川省,四川,15,0,0,0,
76,雅安,1,0,0,0,四川省,四川,15,0,0,0,
77,青岛,4,0,0,0,山东省,山东,15,0,0,0,
78,威海,2,0,0,0,山东省,山东,15,0,0,0,
79,临沂,2,0,0,0,山东省,山东,15,0,0,0,
80,潍坊,1,0,0,0,山东省,山东,15,0,0,0,
81,日照,1,0,0,0,山东省,山东,15,0,0,0,
82,济南,2,0,0,0,山东省,山东,15,0,0,0,
83,烟台,2,0,0,0,山东省,山东,15,0,0,0,
84,济宁,1,0,0,0,山东省,山东,15,0,0,0,
85,北海,6,0,0,0,广西壮族自治区,广西,13,0,0,0,
86,柳州,2,0,0,0,广西壮族自治区,广西,13,0,0,0,
87,梧州,1,0,0,0,广西壮族自治区,广西,13,0,0,0,
88,桂林,2,0,0,0,广西壮族自治区,广西,13,0,0,0,
89,百色,1,0,0,0,广西壮族自治区,广西,13,0,0,0,
90,河池,1,0,0,0,广西壮族自治区,广西,13,0,0,0,
91,福州,5,0,0,0,福建省,福建,10,2,0,0,福建地区新增疑似 2 例（漳州 1 例；三明 1 例）
92,厦门,3,0,0,0,福建省,福建,10,2,0,0,福建地区新增疑似 2 例（漳州 1 例；三明 1 例）
93,泉州,1,0,0,0,福建省,福建,10,2,0,0,福建地区新增疑似 2 例（漳州 1 例；三明 1 例）
94,宁德,1,0,0,0,福建省,福建,10,2,0,0,福建地区新增疑似 2 例（漳州 1 例；三明 1 例）
95,苏州,2,0,0,0,江苏省,江苏,9,0,0,0,
96,南京,3,0,0,0,江苏省,江苏,9,0,0,0,
97,连云港,1,0,0,0,江苏省,江苏,9,0,0,0,
98,扬州,1,0,0,0,江苏省,江苏,9,0,0,0,
99,南通,1,0,0,0,江苏省,江苏,9,0,0,0,
100,无锡,1,0,0,0,江苏省,江苏,9,0,0,0,
101,巩义,2,0,0,0,河南省,河南,9,0,0,0,
102,洛阳,1,0,0,0,河南省,河南,9,0,0,0,
103,三门峡,1,0,0,0,河南省,河南,9,0,0,0,
104,郑州,3,0,0,0,河南省,河南,9,0,0,0,
105,信阳,1,0,0,0,河南省,河南,9,0,0,0,
106,周口,1,0,0,0,河南省,河南,9,0,0,0,
107,海口,3,0,0,0,海南省,海南,8,0,0,0,
108,临高县,1,0,0,0,海南省,海南,8,0,0,0,
109,三亚,2,0,0,0,海南省,海南,8,0,0,0,
110,万宁,2,0,0,0,海南省,海南,8,0,0,0,
111,抚州,1,0,0,0,江西省,江西,7,0,0,0,
112,萍乡,1,0,0,0,江西省,江西,7,0,0,0,
113,南昌,2,0,0,0,江西省,江西,7,0,0,0,
114,九江,1,0,0,0,江西省,江西,7,0,0,0,
115,新余,1,0,0,0,江西省,江西,7,0,0,0,
116,吉安,1,0,0,0,江西省,江西,7,0,0,0,
117,咸阳,1,0,0,0,陕西省,陕西,3,0,0,0,
118,西安,2,0,0,0,陕西省,陕西,3,0,0,0,
119,贵阳,1,0,0,0,贵州省,贵州,3,0,0,0,
120,铜仁,1,0,0,0,贵州省,贵州,3,0,0,0,
121,黔南州,1,0,0,0,贵州省,贵州,3,0,0,0,
122,大连,1,0,0,0,辽宁省,辽宁,4,0,0,0,
123,沈阳,2,0,0,0,辽宁省,辽宁,4,0,0,0,
124,朝阳,1,0,0,0,辽宁省,辽宁,4,0,0,0,
125,牡丹江,1,0,0,0,黑龙江省,黑龙江,4,0,0,1,
126,哈尔滨,1,0,0,0,黑龙江省,黑龙江,4,0,0,1,
127,大庆,1,0,0,0,黑龙江省,黑龙江,4,0,0,1,
128,绥化,1,0,0,1,黑龙江省,黑龙江,4,0,0,1,
129,兰州,1,0,0,0,甘肃省,甘肃,2,0,0,0,
130,白银,1,0,0,0,甘肃省,甘肃,2,0,0,0,
131,昆明,2,0,0,0,云南省,云南,2,0,0,0,
132,太原,1,0,0,0,山西省,山西,1,0,0,0,
133,长春,1,0,0,0,吉林省,吉林,3,0,0,0,
134,吉林,1,0,0,0,吉林省,吉林,3,0,0,0,
135,松原,1,0,0,0,吉林省,吉林,3,0,0,0,
136,石家庄,1,0,0,0,河北省,河北,2,0,0,1,
137,沧州,1,0,0,1,河北省,河北,2,0,0,1,
138,银川,1,0,0,0,宁夏回族自治区,宁夏,2,0,0,0,
139,中卫,1,0,0,0,宁夏回族自治区,宁夏,2,0,0,0,
140,满洲里,1,0,0,0,内蒙古自治区,内蒙古,1,0,0,0,
